Metabolite	proportion_medium	medium	SampleName	Compartment	Conc	unit
EX_cpd00001_e0	100	corn	Corn10-1	Cecum	9.76020949369357e-05	mM
EX_cpd00001_e0	100	corn	Corn10-2	Cecum	0.000427638080517206	mM
EX_cpd00001_e0	100	corn	Corn5-1	Cecum	3.17622609517958e-05	mM
EX_cpd00001_e0	100	corn	Corn5-2	Cecum	5.95229975911458e-05	mM
EX_cpd00001_e0	100	corn	Corn5-3	Cecum	6.61931838620038e-05	mM
EX_cpd00001_e0	100	wheat	Wheat11-1	Cecum	6.11641267294186e-06	mM
EX_cpd00001_e0	100	wheat	Wheat11-2	Cecum	2.1195566700087e-05	mM
EX_cpd00001_e0	100	wheat	Wheat11-3	Cecum	1.12335062472535e-05	mM
EX_cpd00001_e0	100	wheat	Wheat9-1	Cecum	0.000304428196593363	mM
EX_cpd00001_e0	100	wheat	Wheat9-2	Cecum	0.00074655026058548	mM
EX_cpd00001_e0	100	corn	Corn10-1	Colon	0.000203873964400475	mM
EX_cpd00001_e0	100	corn	Corn10-2	Colon	0.000340505162934344	mM
EX_cpd00001_e0	100	corn	Corn5-1	Colon	6.3229874937503e-05	mM
EX_cpd00001_e0	100	corn	Corn5-2	Colon	0.000169040970857899	mM
EX_cpd00001_e0	100	corn	Corn5-3	Colon	0.000180645726439896	mM
EX_cpd00001_e0	100	wheat	Wheat11-1	Colon	9.04314691291118e-05	mM
EX_cpd00001_e0	100	wheat	Wheat11-2	Colon	9.56792137748795e-05	mM
EX_cpd00001_e0	100	wheat	Wheat11-3	Colon	5.45126995993088e-05	mM
EX_cpd00001_e0	100	wheat	Wheat9-1	Colon	0.000271218111951101	mM
EX_cpd00001_e0	100	wheat	Wheat9-2	Colon	0.000498896228988226	mM
EX_cpd00001_e0	100	corn	Corn10-1	Duodenum	6.92447430840483e-06	mM
EX_cpd00001_e0	100	corn	Corn10-2	Duodenum	6.59680598420802e-06	mM
EX_cpd00001_e0	100	corn	Corn5-1	Duodenum	3.50039614130773e-06	mM
EX_cpd00001_e0	100	corn	Corn5-2	Duodenum	5.64465269688421e-06	mM
EX_cpd00001_e0	100	corn	Corn5-3	Duodenum	4.36918181189648e-06	mM
EX_cpd00001_e0	100	wheat	Wheat11-1	Duodenum	2.73689747021912e-05	mM
EX_cpd00001_e0	100	wheat	Wheat11-2	Duodenum	1.24099233110748e-05	mM
EX_cpd00001_e0	100	wheat	Wheat11-3	Duodenum	2.17343514115846e-05	mM
EX_cpd00001_e0	100	wheat	Wheat9-1	Duodenum	1.14376917028425e-05	mM
EX_cpd00001_e0	100	wheat	Wheat9-2	Duodenum	1.34578776044129e-05	mM
EX_cpd00001_e0	100	corn	Corn10-1	Gizzard	6.4289941744601e-06	mM
EX_cpd00001_e0	100	corn	Corn10-2	Gizzard	7.88145304924835e-06	mM
EX_cpd00001_e0	100	corn	Corn5-1	Gizzard	3.03500432071902e-06	mM
EX_cpd00001_e0	100	corn	Corn5-2	Gizzard	3.14297511818274e-06	mM
EX_cpd00001_e0	100	corn	Corn5-3	Gizzard	3.08285841153598e-06	mM
EX_cpd00001_e0	100	wheat	Wheat11-1	Gizzard	1.03253835008626e-05	mM
EX_cpd00001_e0	100	wheat	Wheat11-2	Gizzard	4.13646267845363e-06	mM
EX_cpd00001_e0	100	wheat	Wheat11-3	Gizzard	8.53639922943375e-06	mM
EX_cpd00001_e0	100	wheat	Wheat9-1	Gizzard	9.92932138453306e-06	mM
EX_cpd00001_e0	100	wheat	Wheat9-2	Gizzard	1.43574796914938e-05	mM
EX_cpd00001_e0	100	corn	Corn10-1	Ileum	4.71478540180926e-05	mM
EX_cpd00001_e0	100	corn	Corn10-2	Ileum	7.60744205386546e-05	mM
EX_cpd00001_e0	100	corn	Corn5-1	Ileum	3.12992477088448e-05	mM
